arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep20 step 340/348 loss 0.3201
[grader] epoch 20/30 loss 0.3204 AUC(ref) 0.8945 QWK 0.7004 acc 0.5699 sens(g>=3) 0.7552
  ep21 step 0/348 loss 0.4364
  ep21 step 20/348 loss 0.3429
  ep21 step 40/348 loss 0.3199
  ep21 step 60/348 loss 0.3124
  ep21 step 80/348 loss 0.3130
  ep21 step 100/348 loss 0.3136
  ep21 step 120/348 loss 0.3147
  ep21 step 140/348 loss 0.3184
  ep21 step 160/348 loss 0.3181
  ep21 step 180/348 loss 0.3180
  ep21 step 200/348 loss 0.3175
  ep21 step 220/348 loss 0.3208
  ep21 step 240/348 loss 0.3205
  ep21 step 260/348 loss 0.3208
  ep21 step 280/348 loss 0.3217
  ep21 step 300/348 loss 0.3211
  ep21 step 320/348 loss 0.3203
  ep21 step 340/348 loss 0.3192
[grader] epoch 21/30 loss 0.3182 AUC(ref) 0.8940 QWK 0.6991 acc 0.5751 sens(g>=3) 0.7469
  ep22 step 0/348 loss 0.2556
  ep22 step 20/348 loss 0.3239
  ep22 step 40/348 loss 0.3195
  ep22 step 60/348 loss 0.3131
  ep22 step 80/348 loss 0.3160
  ep22 step 100/348 loss 0.3107
  ep22 step 120/348 loss 0.3086
  ep22 step 140/348 loss 0.3103
  ep22 step 160/348 loss 0.3093
  ep22 step 180/348 loss 0.3121
  ep22 step 200/348 loss 0.3130
  ep22 step 220/348 loss 0.3116
  ep22 step 240/348 loss 0.3112
  ep22 step 260/348 loss 0.3110
  ep22 step 280/348 loss 0.3126
  ep22 step 300/348 loss 0.3112
  ep22 step 320/348 loss 0.3129
  ep22 step 340/348 loss 0.3140
[grader] epoch 22/30 loss 0.3146 AUC(ref) 0.8943 QWK 0.6997 acc 0.5767 sens(g>=3) 0.7469
  ep23 step 0/348 loss 0.3146
  ep23 step 20/348 loss 0.3393
  ep23 step 40/348 loss 0.3365
  ep23 step 60/348 loss 0.3375
  ep23 step 80/348 loss 0.3413
  ep23 step 100/348 loss 0.3336
  ep23 step 120/348 loss 0.3329
  ep23 step 140/348 loss 0.3306
  ep23 step 160/348 loss 0.3311
  ep23 step 180/348 loss 0.3266
  ep23 step 200/348 loss 0.3236
  ep23 step 220/348 loss 0.3242
  ep23 step 240/348 loss 0.3231
  ep23 step 260/348 loss 0.3227
  ep23 step 280/348 loss 0.3226
  ep23 step 300/348 loss 0.3221
  ep23 step 320/348 loss 0.3209
  ep23 step 340/348 loss 0.3206
[grader] epoch 23/30 loss 0.3206 AUC(ref) 0.8942 QWK 0.6989 acc 0.5771 sens(g>=3) 0.7469
  ep24 step 0/348 loss 0.2504
  ep24 step 20/348 loss 0.3144
  ep24 step 40/348 loss 0.3242
  ep24 step 60/348 loss 0.3163
  ep24 step 80/348 loss 0.3126
  ep24 step 100/348 loss 0.3152
  ep24 step 120/348 loss 0.3211
  ep24 step 140/348 loss 0.3267
  ep24 step 160/348 loss 0.3288
  ep24 step 180/348 loss 0.3294
  ep24 step 200/348 loss 0.3283
  ep24 step 220/348 loss 0.3273
  ep24 step 240/348 loss 0.3268
  ep24 step 260/348 loss 0.3252
  ep24 step 280/348 loss 0.3237
  ep24 step 300/348 loss 0.3234
  ep24 step 320/348 loss 0.3223
  ep24 step 340/348 loss 0.3207
[grader] epoch 24/30 loss 0.3204 AUC(ref) 0.8938 QWK 0.6978 acc 0.5775 sens(g>=3) 0.7427
  ep25 step 0/348 loss 0.2173
  ep25 step 20/348 loss 0.2926
  ep25 step 40/348 loss 0.3054
  ep25 step 60/348 loss 0.3073
  ep25 step 80/348 loss 0.3086
  ep25 step 100/348 loss 0.3086
  ep25 step 120/348 loss 0.3144
  ep25 step 140/348 loss 0.3202
  ep25 step 160/348 loss 0.3170
  ep25 step 180/348 loss 0.3191
  ep25 step 200/348 loss 0.3175
  ep25 step 220/348 loss 0.3174
  ep25 step 240/348 loss 0.3162
  ep25 step 260/348 loss 0.3168
  ep25 step 280/348 loss 0.3158
  ep25 step 300/348 loss 0.3158
  ep25 step 320/348 loss 0.3150
  ep25 step 340/348 loss 0.3159
[grader] epoch 25/30 loss 0.3161 AUC(ref) 0.8939 QWK 0.6987 acc 0.5783 sens(g>=3) 0.7427
  ep26 step 0/348 loss 0.2455
  ep26 step 20/348 loss 0.3235
  ep26 step 40/348 loss 0.3208
  ep26 step 60/348 loss 0.3137
  ep26 step 80/348 loss 0.3138
  ep26 step 100/348 loss 0.3106
  ep26 step 120/348 loss 0.3199
  ep26 step 140/348 loss 0.3179
  ep26 step 160/348 loss 0.3175
  ep26 step 180/348 loss 0.3197
  ep26 step 200/348 loss 0.3188
  ep26 step 220/348 loss 0.3229
  ep26 step 240/348 loss 0.3224
  ep26 step 260/348 loss 0.3209
  ep26 step 280/348 loss 0.3195
  ep26 step 300/348 loss 0.3206
  ep26 step 320/348 loss 0.3190
  ep26 step 340/348 loss 0.3189
[grader] epoch 26/30 loss 0.3194 AUC(ref) 0.8935 QWK 0.6978 acc 0.5791 sens(g>=3) 0.7469
  ep27 step 0/348 loss 0.3414
  ep27 step 20/348 loss 0.2891
  ep27 step 40/348 loss 0.2994
  ep27 step 60/348 loss 0.3077
  ep27 step 80/348 loss 0.3166
  ep27 step 100/348 loss 0.3212
  ep27 step 120/348 loss 0.3162
  ep27 step 140/348 loss 0.3218
  ep27 step 160/348 loss 0.3190
  ep27 step 180/348 loss 0.3150
  ep27 step 200/348 loss 0.3179
  ep27 step 220/348 loss 0.3182
  ep27 step 240/348 loss 0.3191
  ep27 step 260/348 loss 0.3195
  ep27 step 280/348 loss 0.3183
  ep27 step 300/348 loss 0.3192
  ep27 step 320/348 loss 0.3172
  ep27 step 340/348 loss 0.3172
[grader] epoch 27/30 loss 0.3172 AUC(ref) 0.8934 QWK 0.6972 acc 0.5787 sens(g>=3) 0.7469
  ep28 step 0/348 loss 0.6409
  ep28 step 20/348 loss 0.3681
  ep28 step 40/348 loss 0.3396
  ep28 step 60/348 loss 0.3364
  ep28 step 80/348 loss 0.3284
  ep28 step 100/348 loss 0.3267
  ep28 step 120/348 loss 0.3271
  ep28 step 140/348 loss 0.3254
  ep28 step 160/348 loss 0.3252
  ep28 step 180/348 loss 0.3212
  ep28 step 200/348 loss 0.3180
  ep28 step 220/348 loss 0.3159
  ep28 step 240/348 loss 0.3172
  ep28 step 260/348 loss 0.3185
  ep28 step 280/348 loss 0.3198
  ep28 step 300/348 loss 0.3196
  ep28 step 320/348 loss 0.3183
  ep28 step 340/348 loss 0.3187
[grader] epoch 28/30 loss 0.3187 AUC(ref) 0.8935 QWK 0.6988 acc 0.5799 sens(g>=3) 0.7469
  ep29 step 0/348 loss 0.2622
  ep29 step 20/348 loss 0.3193
  ep29 step 40/348 loss 0.3276
  ep29 step 60/348 loss 0.3279
  ep29 step 80/348 loss 0.3194
  ep29 step 100/348 loss 0.3223
  ep29 step 120/348 loss 0.3252
  ep29 step 140/348 loss 0.3199
  ep29 step 160/348 loss 0.3187
  ep29 step 180/348 loss 0.3209
  ep29 step 200/348 loss 0.3208
  ep29 step 220/348 loss 0.3192
