arm=cnn  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep30 step 280/348 loss 0.0346
  ep30 step 300/348 loss 0.0345
  ep30 step 320/348 loss 0.0349
  ep30 step 340/348 loss 0.0346
[grader] epoch 30/30 loss 0.0344 AUC(ref) 0.9536 QWK 0.8457 acc 0.7785 sens(g>=3) 0.8174

Best qwk 0.8544 at epoch 15 (45.4 min)
  at that epoch: AUC(ref) 0.9563  QWK 0.8544  sens(g>=3) 0.8091
  per-grade recall: 0:0.86  1:0.66  2:0.68  3:0.47  4:0.79
Checkpoint: outputs\grader_cnn_ddr\best.pt
