arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep21 step 200/348 loss 0.4340
  ep21 step 220/348 loss 0.4340
  ep21 step 240/348 loss 0.4358
  ep21 step 260/348 loss 0.4353
  ep21 step 280/348 loss 0.4391
  ep21 step 300/348 loss 0.4364
  ep21 step 320/348 loss 0.4352
  ep21 step 340/348 loss 0.4348
[grader] epoch 21/30 loss 0.4344 AUC(ref) 0.7977 QWK 0.5244 acc 0.3893 sens(g>=3) 0.7261
  ep22 step 0/348 loss 0.4728
  ep22 step 20/348 loss 0.4452
  ep22 step 40/348 loss 0.4385
  ep22 step 60/348 loss 0.4430
  ep22 step 80/348 loss 0.4420
  ep22 step 100/348 loss 0.4420
  ep22 step 120/348 loss 0.4354
  ep22 step 140/348 loss 0.4380
  ep22 step 160/348 loss 0.4417
  ep22 step 180/348 loss 0.4387
  ep22 step 200/348 loss 0.4382
  ep22 step 220/348 loss 0.4373
  ep22 step 240/348 loss 0.4335
  ep22 step 260/348 loss 0.4325
  ep22 step 280/348 loss 0.4338
  ep22 step 300/348 loss 0.4331
  ep22 step 320/348 loss 0.4336
  ep22 step 340/348 loss 0.4325
[grader] epoch 22/30 loss 0.4321 AUC(ref) 0.7981 QWK 0.5247 acc 0.3901 sens(g>=3) 0.7344
  ep23 step 0/348 loss 0.4518
  ep23 step 20/348 loss 0.4429
  ep23 step 40/348 loss 0.4293
  ep23 step 60/348 loss 0.4288
  ep23 step 80/348 loss 0.4299
  ep23 step 100/348 loss 0.4297
  ep23 step 120/348 loss 0.4267
  ep23 step 140/348 loss 0.4266
  ep23 step 160/348 loss 0.4262
  ep23 step 180/348 loss 0.4269
  ep23 step 200/348 loss 0.4256
  ep23 step 220/348 loss 0.4245
  ep23 step 240/348 loss 0.4246
  ep23 step 260/348 loss 0.4256
  ep23 step 280/348 loss 0.4261
  ep23 step 300/348 loss 0.4267
  ep23 step 320/348 loss 0.4254
  ep23 step 340/348 loss 0.4257
[grader] epoch 23/30 loss 0.4258 AUC(ref) 0.7992 QWK 0.5264 acc 0.3893 sens(g>=3) 0.7510
  ep24 step 0/348 loss 0.4272
  ep24 step 20/348 loss 0.4498
  ep24 step 40/348 loss 0.4314
  ep24 step 60/348 loss 0.4262
  ep24 step 80/348 loss 0.4187
  ep24 step 100/348 loss 0.4180
  ep24 step 120/348 loss 0.4170
  ep24 step 140/348 loss 0.4167
  ep24 step 160/348 loss 0.4191
  ep24 step 180/348 loss 0.4216
  ep24 step 200/348 loss 0.4253
  ep24 step 220/348 loss 0.4245
  ep24 step 240/348 loss 0.4222
  ep24 step 260/348 loss 0.4249
  ep24 step 280/348 loss 0.4247
  ep24 step 300/348 loss 0.4239
  ep24 step 320/348 loss 0.4231
  ep24 step 340/348 loss 0.4224
[grader] epoch 24/30 loss 0.4228 AUC(ref) 0.8005 QWK 0.5301 acc 0.3929 sens(g>=3) 0.7635
  ep25 step 0/348 loss 0.4403
  ep25 step 20/348 loss 0.4311
  ep25 step 40/348 loss 0.4218
  ep25 step 60/348 loss 0.4231
  ep25 step 80/348 loss 0.4264
  ep25 step 100/348 loss 0.4286
  ep25 step 120/348 loss 0.4308
  ep25 step 140/348 loss 0.4257
  ep25 step 160/348 loss 0.4224
  ep25 step 180/348 loss 0.4231
  ep25 step 200/348 loss 0.4236
  ep25 step 220/348 loss 0.4241
  ep25 step 240/348 loss 0.4231
  ep25 step 260/348 loss 0.4219
  ep25 step 280/348 loss 0.4236
  ep25 step 300/348 loss 0.4216
  ep25 step 320/348 loss 0.4227
  ep25 step 340/348 loss 0.4241
[grader] epoch 25/30 loss 0.4243 AUC(ref) 0.8016 QWK 0.5292 acc 0.3897 sens(g>=3) 0.7593
  ep26 step 0/348 loss 0.4720
  ep26 step 20/348 loss 0.4247
  ep26 step 40/348 loss 0.4173
  ep26 step 60/348 loss 0.4198
  ep26 step 80/348 loss 0.4167
  ep26 step 100/348 loss 0.4219
  ep26 step 120/348 loss 0.4225
  ep26 step 140/348 loss 0.4201
  ep26 step 160/348 loss 0.4205
  ep26 step 180/348 loss 0.4233
  ep26 step 200/348 loss 0.4254
  ep26 step 220/348 loss 0.4279
  ep26 step 240/348 loss 0.4297
  ep26 step 260/348 loss 0.4294
  ep26 step 280/348 loss 0.4278
  ep26 step 300/348 loss 0.4281
  ep26 step 320/348 loss 0.4285
  ep26 step 340/348 loss 0.4292
[grader] epoch 26/30 loss 0.4287 AUC(ref) 0.8017 QWK 0.5323 acc 0.3945 sens(g>=3) 0.7635
  ep27 step 0/348 loss 0.3388
  ep27 step 20/348 loss 0.4436
  ep27 step 40/348 loss 0.4274
  ep27 step 60/348 loss 0.4204
  ep27 step 80/348 loss 0.4259
  ep27 step 100/348 loss 0.4303
  ep27 step 120/348 loss 0.4299
  ep27 step 140/348 loss 0.4311
  ep27 step 160/348 loss 0.4335
  ep27 step 180/348 loss 0.4283
  ep27 step 200/348 loss 0.4286
  ep27 step 220/348 loss 0.4283
  ep27 step 240/348 loss 0.4252
  ep27 step 260/348 loss 0.4236
  ep27 step 280/348 loss 0.4241
  ep27 step 300/348 loss 0.4226
  ep27 step 320/348 loss 0.4237
  ep27 step 340/348 loss 0.4224
[grader] epoch 27/30 loss 0.4223 AUC(ref) 0.8018 QWK 0.5319 acc 0.3957 sens(g>=3) 0.7635
  ep28 step 0/348 loss 0.3078
  ep28 step 20/348 loss 0.3809
  ep28 step 40/348 loss 0.4239
  ep28 step 60/348 loss 0.4205
  ep28 step 80/348 loss 0.4231
  ep28 step 100/348 loss 0.4283
  ep28 step 120/348 loss 0.4255
  ep28 step 140/348 loss 0.4228
  ep28 step 160/348 loss 0.4248
  ep28 step 180/348 loss 0.4230
  ep28 step 200/348 loss 0.4223
  ep28 step 220/348 loss 0.4226
  ep28 step 240/348 loss 0.4238
  ep28 step 260/348 loss 0.4247
  ep28 step 280/348 loss 0.4253
  ep28 step 300/348 loss 0.4253
  ep28 step 320/348 loss 0.4274
  ep28 step 340/348 loss 0.4284
[grader] epoch 28/30 loss 0.4274 AUC(ref) 0.8021 QWK 0.5330 acc 0.3977 sens(g>=3) 0.7635
  ep29 step 0/348 loss 0.4209
  ep29 step 20/348 loss 0.3921
  ep29 step 40/348 loss 0.4048
  ep29 step 60/348 loss 0.4107
  ep29 step 80/348 loss 0.4090
  ep29 step 100/348 loss 0.4225
  ep29 step 120/348 loss 0.4276
  ep29 step 140/348 loss 0.4283
  ep29 step 160/348 loss 0.4286
  ep29 step 180/348 loss 0.4289
  ep29 step 200/348 loss 0.4299
  ep29 step 220/348 loss 0.4276
  ep29 step 240/348 loss 0.4226
  ep29 step 260/348 loss 0.4236
  ep29 step 280/348 loss 0.4258
  ep29 step 300/348 loss 0.4238
  ep29 step 320/348 loss 0.4211
  ep29 step 340/348 loss 0.4208
[grader] epoch 29/30 loss 0.4210 AUC(ref) 0.8026 QWK 0.5337 acc 0.3993 sens(g>=3) 0.7635
  ep30 step 0/348 loss 0.4719
  ep30 step 20/348 loss 0.4674
  ep30 step 40/348 loss 0.4460
  ep30 step 60/348 loss 0.4419
  ep30 step 80/348 loss 0.4415
  ep30 step 100/348 loss 0.4351
  ep30 step 120/348 loss 0.4352
  ep30 step 140/348 loss 0.4332
  ep30 step 160/348 loss 0.4339
  ep30 step 180/348 loss 0.4330
  ep30 step 200/348 loss 0.4320
  ep30 step 220/348 loss 0.4328
  ep30 step 240/348 loss 0.4322
  ep30 step 260/348 loss 0.4315
  ep30 step 280/348 loss 0.4314
  ep30 step 300/348 loss 0.4311
  ep30 step 320/348 loss 0.4301
  ep30 step 340/348 loss 0.4293
[grader] epoch 30/30 loss 0.4298 AUC(ref) 0.8028 QWK 0.5340 acc 0.4005 sens(g>=3) 0.7635

Best qwk 0.5340 at epoch 30 (48.0 min)
  at that epoch: AUC(ref) 0.8028  QWK 0.5340  sens(g>=3) 0.7635
  per-grade recall: 0:0.43  1:0.48  2:0.33  3:0.67  4:0.37
Checkpoint: outputs\grader_clinical_ddr\best.pt
