arm=cnn  train 5941  val 1860  classes 5
grade distribution (train): [1840, 926, 1840, 415, 920]
parameters: 4.34 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:25.7%  1:18.2%  2:25.7%  3:12.2%  4:18.2%
  ep24 step 100/371 loss 0.0461
  ep24 step 120/371 loss 0.0468
  ep24 step 140/371 loss 0.0472
  ep24 step 160/371 loss 0.0473
  ep24 step 180/371 loss 0.0464
  ep24 step 200/371 loss 0.0461
  ep24 step 220/371 loss 0.0456
  ep24 step 240/371 loss 0.0462
  ep24 step 260/371 loss 0.0456
  ep24 step 280/371 loss 0.0447
  ep24 step 300/371 loss 0.0444
  ep24 step 320/371 loss 0.0449
  ep24 step 340/371 loss 0.0448
  ep24 step 360/371 loss 0.0445
[grader] epoch 24/30 loss 0.0440 AUC(ref) 0.9525 QWK 0.8500 acc 0.7575 sens(g>=3) 0.7687
  ep25 step 0/371 loss 0.1722
  ep25 step 20/371 loss 0.0565
  ep25 step 40/371 loss 0.0482
  ep25 step 60/371 loss 0.0449
  ep25 step 80/371 loss 0.0426
  ep25 step 100/371 loss 0.0405
  ep25 step 120/371 loss 0.0412
  ep25 step 140/371 loss 0.0433
  ep25 step 160/371 loss 0.0436
  ep25 step 180/371 loss 0.0425
  ep25 step 200/371 loss 0.0421
  ep25 step 220/371 loss 0.0420
  ep25 step 240/371 loss 0.0430
  ep25 step 260/371 loss 0.0433
  ep25 step 280/371 loss 0.0435
  ep25 step 300/371 loss 0.0433
  ep25 step 320/371 loss 0.0439
  ep25 step 340/371 loss 0.0448
  ep25 step 360/371 loss 0.0451
[grader] epoch 25/30 loss 0.0449 AUC(ref) 0.9524 QWK 0.8513 acc 0.7591 sens(g>=3) 0.7724
  ep26 step 0/371 loss 0.0446
  ep26 step 20/371 loss 0.0554
  ep26 step 40/371 loss 0.0516
  ep26 step 60/371 loss 0.0494
  ep26 step 80/371 loss 0.0462
  ep26 step 100/371 loss 0.0434
  ep26 step 120/371 loss 0.0436
  ep26 step 140/371 loss 0.0445
  ep26 step 160/371 loss 0.0432
  ep26 step 180/371 loss 0.0427
  ep26 step 200/371 loss 0.0436
  ep26 step 220/371 loss 0.0438
  ep26 step 240/371 loss 0.0431
  ep26 step 260/371 loss 0.0428
  ep26 step 280/371 loss 0.0420
  ep26 step 300/371 loss 0.0433
  ep26 step 320/371 loss 0.0425
  ep26 step 340/371 loss 0.0425
  ep26 step 360/371 loss 0.0424
[grader] epoch 26/30 loss 0.0427 AUC(ref) 0.9521 QWK 0.8523 acc 0.7624 sens(g>=3) 0.7836
  ep27 step 0/371 loss 0.0829
  ep27 step 20/371 loss 0.0421
  ep27 step 40/371 loss 0.0407
  ep27 step 60/371 loss 0.0417
  ep27 step 80/371 loss 0.0389
  ep27 step 100/371 loss 0.0383
  ep27 step 120/371 loss 0.0416
  ep27 step 140/371 loss 0.0416
  ep27 step 160/371 loss 0.0429
  ep27 step 180/371 loss 0.0427
  ep27 step 200/371 loss 0.0426
  ep27 step 220/371 loss 0.0425
  ep27 step 240/371 loss 0.0422
  ep27 step 260/371 loss 0.0419
  ep27 step 280/371 loss 0.0412
  ep27 step 300/371 loss 0.0418
  ep27 step 320/371 loss 0.0413
  ep27 step 340/371 loss 0.0410
  ep27 step 360/371 loss 0.0413
[grader] epoch 27/30 loss 0.0416 AUC(ref) 0.9520 QWK 0.8510 acc 0.7597 sens(g>=3) 0.7836
  ep28 step 0/371 loss 0.0280
  ep28 step 20/371 loss 0.0536
  ep28 step 40/371 loss 0.0451
  ep28 step 60/371 loss 0.0470
  ep28 step 80/371 loss 0.0517
  ep28 step 100/371 loss 0.0495
  ep28 step 120/371 loss 0.0484
  ep28 step 140/371 loss 0.0492
  ep28 step 160/371 loss 0.0520
  ep28 step 180/371 loss 0.0502
  ep28 step 200/371 loss 0.0513
  ep28 step 220/371 loss 0.0505
  ep28 step 240/371 loss 0.0501
  ep28 step 260/371 loss 0.0492
  ep28 step 280/371 loss 0.0485
  ep28 step 300/371 loss 0.0468
  ep28 step 320/371 loss 0.0470
  ep28 step 340/371 loss 0.0470
  ep28 step 360/371 loss 0.0466
[grader] epoch 28/30 loss 0.0461 AUC(ref) 0.9518 QWK 0.8524 acc 0.7602 sens(g>=3) 0.7836
  ep29 step 0/371 loss 0.0221
  ep29 step 20/371 loss 0.0493
  ep29 step 40/371 loss 0.0517
  ep29 step 60/371 loss 0.0484
  ep29 step 80/371 loss 0.0507
  ep29 step 100/371 loss 0.0508
  ep29 step 120/371 loss 0.0488
  ep29 step 140/371 loss 0.0475
  ep29 step 160/371 loss 0.0470
  ep29 step 180/371 loss 0.0463
  ep29 step 200/371 loss 0.0446
  ep29 step 220/371 loss 0.0436
  ep29 step 240/371 loss 0.0429
  ep29 step 260/371 loss 0.0429
  ep29 step 280/371 loss 0.0424
  ep29 step 300/371 loss 0.0414
  ep29 step 320/371 loss 0.0412
  ep29 step 340/371 loss 0.0403
  ep29 step 360/371 loss 0.0404
[grader] epoch 29/30 loss 0.0403 AUC(ref) 0.9518 QWK 0.8479 acc 0.7586 sens(g>=3) 0.7761
  ep30 step 0/371 loss 0.0102
  ep30 step 20/371 loss 0.0276
  ep30 step 40/371 loss 0.0345
  ep30 step 60/371 loss 0.0400
  ep30 step 80/371 loss 0.0395
  ep30 step 100/371 loss 0.0382
  ep30 step 120/371 loss 0.0374
  ep30 step 140/371 loss 0.0379
  ep30 step 160/371 loss 0.0398
  ep30 step 180/371 loss 0.0394
  ep30 step 200/371 loss 0.0391
  ep30 step 220/371 loss 0.0394
  ep30 step 240/371 loss 0.0379
  ep30 step 260/371 loss 0.0386
  ep30 step 280/371 loss 0.0384
  ep30 step 300/371 loss 0.0378
  ep30 step 320/371 loss 0.0386
  ep30 step 340/371 loss 0.0394
  ep30 step 360/371 loss 0.0393
[grader] epoch 30/30 loss 0.0393 AUC(ref) 0.9518 QWK 0.8481 acc 0.7591 sens(g>=3) 0.7761

Best qwk 0.8601 at epoch 15 (48.8 min)
  at that epoch: AUC(ref) 0.9529  QWK 0.8601  sens(g>=3) 0.7948
  per-grade recall: 0:0.83  1:0.60  2:0.71  3:0.60  4:0.77
Checkpoint: outputs\grader_cnn_all\best.pt
