Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
[grader] epoch 19/30 loss 0.0466 AUC(ref) 0.9501 QWK 0.8383 acc 0.7701 sens(g>=3) 0.8174
  ep20 step 0/348 loss 0.0177
  ep20 step 20/348 loss 0.0503
  ep20 step 40/348 loss 0.0451
  ep20 step 60/348 loss 0.0436
  ep20 step 80/348 loss 0.0418
  ep20 step 100/348 loss 0.0443
  ep20 step 120/348 loss 0.0458
  ep20 step 140/348 loss 0.0446
  ep20 step 160/348 loss 0.0441
  ep20 step 180/348 loss 0.0436
  ep20 step 200/348 loss 0.0440
  ep20 step 220/348 loss 0.0442
  ep20 step 240/348 loss 0.0465
  ep20 step 260/348 loss 0.0472
  ep20 step 280/348 loss 0.0465
  ep20 step 300/348 loss 0.0456
  ep20 step 320/348 loss 0.0452
  ep20 step 340/348 loss 0.0447
[grader] epoch 20/30 loss 0.0448 AUC(ref) 0.9495 QWK 0.8424 acc 0.7721 sens(g>=3) 0.8216
  ep21 step 0/348 loss 0.0689
  ep21 step 20/348 loss 0.0378
  ep21 step 40/348 loss 0.0349
  ep21 step 60/348 loss 0.0350
  ep21 step 80/348 loss 0.0402
  ep21 step 100/348 loss 0.0391
  ep21 step 120/348 loss 0.0388
  ep21 step 140/348 loss 0.0370
  ep21 step 160/348 loss 0.0369
  ep21 step 180/348 loss 0.0360
  ep21 step 200/348 loss 0.0367
  ep21 step 220/348 loss 0.0394
  ep21 step 240/348 loss 0.0396
  ep21 step 260/348 loss 0.0396
  ep21 step 280/348 loss 0.0398
  ep21 step 300/348 loss 0.0402
  ep21 step 320/348 loss 0.0402
  ep21 step 340/348 loss 0.0396
[grader] epoch 21/30 loss 0.0395 AUC(ref) 0.9485 QWK 0.8407 acc 0.7697 sens(g>=3) 0.8133
  ep22 step 0/348 loss 0.0350
  ep22 step 20/348 loss 0.0298
  ep22 step 40/348 loss 0.0261
  ep22 step 60/348 loss 0.0325
  ep22 step 80/348 loss 0.0372
  ep22 step 100/348 loss 0.0381
  ep22 step 120/348 loss 0.0426
  ep22 step 140/348 loss 0.0468
  ep22 step 160/348 loss 0.0456
  ep22 step 180/348 loss 0.0434
  ep22 step 200/348 loss 0.0423
  ep22 step 220/348 loss 0.0424
  ep22 step 240/348 loss 0.0418
  ep22 step 260/348 loss 0.0412
  ep22 step 280/348 loss 0.0401
  ep22 step 300/348 loss 0.0394
  ep22 step 320/348 loss 0.0387
  ep22 step 340/348 loss 0.0385
[grader] epoch 22/30 loss 0.0381 AUC(ref) 0.9492 QWK 0.8400 acc 0.7737 sens(g>=3) 0.8133
  ep23 step 0/348 loss 0.0366
  ep23 step 20/348 loss 0.0440
  ep23 step 40/348 loss 0.0406
  ep23 step 60/348 loss 0.0349
  ep23 step 80/348 loss 0.0366
  ep23 step 100/348 loss 0.0367
  ep23 step 120/348 loss 0.0364
  ep23 step 140/348 loss 0.0357
  ep23 step 160/348 loss 0.0361
  ep23 step 180/348 loss 0.0357
  ep23 step 200/348 loss 0.0343
  ep23 step 220/348 loss 0.0337
  ep23 step 240/348 loss 0.0328
  ep23 step 260/348 loss 0.0324
