Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep18 step 80/348 loss 0.0557
  ep18 step 100/348 loss 0.0537
  ep18 step 120/348 loss 0.0593
  ep18 step 140/348 loss 0.0585
  ep18 step 160/348 loss 0.0594
  ep18 step 180/348 loss 0.0610
  ep18 step 200/348 loss 0.0604
  ep18 step 220/348 loss 0.0582
  ep18 step 240/348 loss 0.0569
  ep18 step 260/348 loss 0.0551
  ep18 step 280/348 loss 0.0538
  ep18 step 300/348 loss 0.0570
  ep18 step 320/348 loss 0.0571
  ep18 step 340/348 loss 0.0565
[grader] epoch 18/30 loss 0.0563 AUC(ref) 0.9581 QWK 0.8544 acc 0.7813 sens(g>=3) 0.8133
  ep19 step 0/348 loss 0.0296
  ep19 step 20/348 loss 0.0466
  ep19 step 40/348 loss 0.0535
  ep19 step 60/348 loss 0.0574
  ep19 step 80/348 loss 0.0615
  ep19 step 100/348 loss 0.0643
  ep19 step 120/348 loss 0.0625
  ep19 step 140/348 loss 0.0611
  ep19 step 160/348 loss 0.0598
  ep19 step 180/348 loss 0.0579
  ep19 step 200/348 loss 0.0579
  ep19 step 220/348 loss 0.0567
  ep19 step 240/348 loss 0.0548
  ep19 step 260/348 loss 0.0540
  ep19 step 280/348 loss 0.0548
  ep19 step 300/348 loss 0.0538
  ep19 step 320/348 loss 0.0537
  ep19 step 340/348 loss 0.0527
[grader] epoch 19/30 loss 0.0524 AUC(ref) 0.9576 QWK 0.8540 acc 0.7821 sens(g>=3) 0.8091
  ep20 step 0/348 loss 0.0618
  ep20 step 20/348 loss 0.0603
  ep20 step 40/348 loss 0.0484
  ep20 step 60/348 loss 0.0474
  ep20 step 80/348 loss 0.0503
  ep20 step 100/348 loss 0.0536
  ep20 step 120/348 loss 0.0514
  ep20 step 140/348 loss 0.0514
  ep20 step 160/348 loss 0.0512
  ep20 step 180/348 loss 0.0520
  ep20 step 200/348 loss 0.0516
  ep20 step 220/348 loss 0.0501
  ep20 step 240/348 loss 0.0501
  ep20 step 260/348 loss 0.0510
  ep20 step 280/348 loss 0.0506
  ep20 step 300/348 loss 0.0507
  ep20 step 320/348 loss 0.0507
  ep20 step 340/348 loss 0.0504
[grader] epoch 20/30 loss 0.0499 AUC(ref) 0.9572 QWK 0.8527 acc 0.7837 sens(g>=3) 0.8133
  ep21 step 0/348 loss 0.0391
  ep21 step 20/348 loss 0.0356
  ep21 step 40/348 loss 0.0406
  ep21 step 60/348 loss 0.0425
  ep21 step 80/348 loss 0.0548
  ep21 step 100/348 loss 0.0540
  ep21 step 120/348 loss 0.0558
  ep21 step 140/348 loss 0.0533
  ep21 step 160/348 loss 0.0515
  ep21 step 180/348 loss 0.0540
  ep21 step 200/348 loss 0.0531
  ep21 step 220/348 loss 0.0552
  ep21 step 240/348 loss 0.0552
  ep21 step 260/348 loss 0.0556
  ep21 step 280/348 loss 0.0536
  ep21 step 300/348 loss 0.0522
  ep21 step 320/348 loss 0.0514
  ep21 step 340/348 loss 0.0517
[grader] epoch 21/30 loss 0.0518 AUC(ref) 0.9568 QWK 0.8549 acc 0.7881 sens(g>=3) 0.8174
  ep22 step 0/348 loss 0.0234
  ep22 step 20/348 loss 0.0483
  ep22 step 40/348 loss 0.0434
  ep22 step 60/348 loss 0.0429
  ep22 step 80/348 loss 0.0409
  ep22 step 100/348 loss 0.0424
  ep22 step 120/348 loss 0.0412
  ep22 step 140/348 loss 0.0428
  ep22 step 160/348 loss 0.0420
  ep22 step 180/348 loss 0.0413
  ep22 step 200/348 loss 0.0432
  ep22 step 220/348 loss 0.0433
  ep22 step 240/348 loss 0.0426
  ep22 step 260/348 loss 0.0424
  ep22 step 280/348 loss 0.0424
  ep22 step 300/348 loss 0.0422
  ep22 step 320/348 loss 0.0423
  ep22 step 340/348 loss 0.0413
[grader] epoch 22/30 loss 0.0413 AUC(ref) 0.9562 QWK 0.8557 acc 0.7869 sens(g>=3) 0.8174
  ep23 step 0/348 loss 0.0106
  ep23 step 20/348 loss 0.0487
  ep23 step 40/348 loss 0.0507
  ep23 step 60/348 loss 0.0461
  ep23 step 80/348 loss 0.0489
  ep23 step 100/348 loss 0.0444
  ep23 step 120/348 loss 0.0443
  ep23 step 140/348 loss 0.0435
  ep23 step 160/348 loss 0.0433
  ep23 step 180/348 loss 0.0437
  ep23 step 200/348 loss 0.0428
  ep23 step 220/348 loss 0.0433
  ep23 step 240/348 loss 0.0428
  ep23 step 260/348 loss 0.0420
  ep23 step 280/348 loss 0.0433
  ep23 step 300/348 loss 0.0424
  ep23 step 320/348 loss 0.0420
  ep23 step 340/348 loss 0.0418
[grader] epoch 23/30 loss 0.0414 AUC(ref) 0.9556 QWK 0.8563 acc 0.7885 sens(g>=3) 0.8216
  ep24 step 0/348 loss 0.0072
  ep24 step 20/348 loss 0.0420
  ep24 step 40/348 loss 0.0563
  ep24 step 60/348 loss 0.0511
  ep24 step 80/348 loss 0.0479
  ep24 step 100/348 loss 0.0458
  ep24 step 120/348 loss 0.0467
  ep24 step 140/348 loss 0.0451
  ep24 step 160/348 loss 0.0475
  ep24 step 180/348 loss 0.0468
  ep24 step 200/348 loss 0.0463
  ep24 step 220/348 loss 0.0447
  ep24 step 240/348 loss 0.0454
  ep24 step 260/348 loss 0.0434
  ep24 step 280/348 loss 0.0424
  ep24 step 300/348 loss 0.0421
  ep24 step 320/348 loss 0.0421
  ep24 step 340/348 loss 0.0416
[grader] epoch 24/30 loss 0.0412 AUC(ref) 0.9551 QWK 0.8559 acc 0.7889 sens(g>=3) 0.8257
  ep25 step 0/348 loss 0.0104
  ep25 step 20/348 loss 0.0422
  ep25 step 40/348 loss 0.0376
  ep25 step 60/348 loss 0.0335
  ep25 step 80/348 loss 0.0304
  ep25 step 100/348 loss 0.0310
  ep25 step 120/348 loss 0.0347
  ep25 step 140/348 loss 0.0350
  ep25 step 160/348 loss 0.0361
  ep25 step 180/348 loss 0.0354
  ep25 step 200/348 loss 0.0360
  ep25 step 220/348 loss 0.0351
  ep25 step 240/348 loss 0.0356
  ep25 step 260/348 loss 0.0364
  ep25 step 280/348 loss 0.0364
  ep25 step 300/348 loss 0.0359
  ep25 step 320/348 loss 0.0353
  ep25 step 340/348 loss 0.0358
[grader] epoch 25/30 loss 0.0358 AUC(ref) 0.9553 QWK 0.8584 acc 0.7930 sens(g>=3) 0.8133
  ep26 step 0/348 loss 0.0611
  ep26 step 20/348 loss 0.0445
  ep26 step 40/348 loss 0.0432
  ep26 step 60/348 loss 0.0390
  ep26 step 80/348 loss 0.0364
  ep26 step 100/348 loss 0.0362
  ep26 step 120/348 loss 0.0332
  ep26 step 140/348 loss 0.0322
  ep26 step 160/348 loss 0.0330
  ep26 step 180/348 loss 0.0328
  ep26 step 200/348 loss 0.0329
  ep26 step 220/348 loss 0.0325
  ep26 step 240/348 loss 0.0342
  ep26 step 260/348 loss 0.0352
  ep26 step 280/348 loss 0.0345
  ep26 step 300/348 loss 0.0345
  ep26 step 320/348 loss 0.0338
  ep26 step 340/348 loss 0.0342
[grader] epoch 26/30 loss 0.0344 AUC(ref) 0.9562 QWK 0.8597 acc 0.7962 sens(g>=3) 0.8133
  ep27 step 0/348 loss 0.1343
  ep27 step 20/348 loss 0.0450
